,Frame,x_center,y_center,w,h,label,type
0,2007_000027.jpg,574.0,514.0,230.0,320.0,0,trainval
1,2007_000032.jpg,547.0,506.0,347.0,239.0,1,trainval
2,2007_000032.jpg,337.0,380.0,82.0,80.0,1,trainval
3,2007_000032.jpg,397.0,727.0,23.0,112.0,0,trainval
4,2007_000032.jpg,73.0,757.0,23.0,112.0,0,trainval
5,2007_000033.jpg,644.0,553.0,627.0,273.0,1,trainval
6,2007_000033.jpg,886.0,570.0,78.0,45.0,1,trainval
7,2007_000033.jpg,734.0,554.0,110.0,61.0,1,trainval
8,2007_000039.jpg,540.0,552.0,241.0,324.0,2,trainval
9,2007_000042.jpg,808.0,594.0,303.0,502.0,3,trainval
10,2007_000042.jpg,301.0,606.0,300.0,502.0,3,trainval
11,2007_000061.jpg,735.0,547.0,209.0,515.0,4,trainval
12,2007_000061.jpg,477.0,690.0,124.0,73.0,4,trainval
13,2007_000063.jpg,564.0,567.0,328.0,273.0,5,trainval
14,2007_000063.jpg,596.0,641.0,452.0,638.0,6,trainval
15,2007_000068.jpg,358.0,678.0,306.0,563.0,7,trainval
16,2007_000121.jpg,769.0,480.0,287.0,408.0,2,trainval
17,2007_000121.jpg,335.0,490.0,293.0,418.0,2,trainval
18,2007_000123.jpg,459.0,602.0,457.0,536.0,3,trainval
19,2007_000129.jpg,556.0,769.0,354.0,381.0,8,trainval
20,2007_000129.jpg,880.0,795.0,159.0,330.0,8,trainval
21,2007_000129.jpg,129.0,650.0,126.0,374.0,8,trainval
22,2007_000129.jpg,127.0,465.0,125.0,463.0,0,trainval
23,2007_000129.jpg,592.0,592.0,379.0,590.0,0,trainval
24,2007_000129.jpg,881.0,636.0,157.0,599.0,0,trainval
25,2007_000170.jpg,195.0,367.0,28.0,111.0,9,trainval
26,2007_000170.jpg,120.0,406.0,41.0,114.0,9,trainval
27,2007_000170.jpg,658.0,478.0,36.0,99.0,9,trainval
28,2007_000170.jpg,840.0,467.0,22.0,65.0,9,trainval
29,2007_000170.jpg,57.0,429.0,51.0,196.0,0,trainval
30,2007_000170.jpg,593.0,659.0,585.0,587.0,0,trainval
31,2007_000175.jpg,552.0,555.0,504.0,457.0,10,trainval
32,2007_000187.jpg,308.0,655.0,306.0,411.0,2,trainval
33,2007_000241.jpg,868.0,634.0,184.0,166.0,4,trainval
34,2007_000241.jpg,220.0,457.0,105.0,177.0,4,trainval
35,2007_000241.jpg,603.0,485.0,131.0,142.0,4,trainval
36,2007_000243.jpg,467.0,493.0,119.0,127.0,1,trainval
37,2007_000250.jpg,607.0,785.0,605.0,350.0,11,trainval
38,2007_000250.jpg,254.0,613.0,68.0,295.0,9,trainval
39,2007_000256.jpg,634.0,522.0,618.0,254.0,1,trainval
40,2007_000272.jpg,608.0,685.0,536.0,549.0,0,trainval
41,2007_000323.jpg,817.0,643.0,285.0,635.0,0,trainval
42,2007_000323.jpg,398.0,643.0,375.0,635.0,0,trainval
43,2007_000332.jpg,399.0,552.0,296.0,407.0,12,trainval
44,2007_000333.jpg,470.0,556.0,468.0,444.0,3,trainval
